iShares MSCI USA Equal Weighted ETF
Inception Date,"May 05, 2010"
Fund Holdings as of,"Oct 16, 2018"
Total Net Assets,"194,880,251.74"
Shares Outstanding,"3,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"EXC","EXELON CORP","Equity","0.17","43.46","7,565.00","328,774.90","328,774.90","Utilities","2670519","US30161N1019","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.17","45.49","7,227.00","328,756.23","328,756.23","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"RNR","RENAISSANCERE HOLDING LTD","Equity","0.17","132.38","2,483.00","328,699.54","328,699.54","Financials","2728429","BMG7496G1033","New York Stock Exchange Inc."
"WM","WASTE MANAGEMENT INC","Equity","0.17","90.25","3,642.00","328,690.50","328,690.50","Industrials","2937667","US94106L1098","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","0.17","44.51","7,384.00","328,661.84","328,661.84","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"KMI","KINDER MORGAN INC","Equity","0.17","17.92","18,340.00","328,652.80","328,652.80","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc."
"OKE","ONEOK INC","Equity","0.17","67.46","4,870.00","328,530.20","328,530.20","Energy","2130109","US6826801036","New York Stock Exchange Inc."
"ADBE","ADOBE INC","Equity","0.17","260.67","1,260.00","328,444.20","328,444.20","Information Technology","2008154","US00724F1012","NASDAQ"
"SJM","JM SMUCKER","Equity","0.17","105.39","3,114.00","328,184.46","328,184.46","Consumer Staples","2951452","US8326964058","New York Stock Exchange Inc."
"AJG","ARTHUR J GALLAGHER","Equity","0.17","71.88","4,565.00","328,132.20","328,132.20","Financials","2359506","US3635761097","New York Stock Exchange Inc."
"HES","HESS CORP","Equity","0.17","65.80","4,982.00","327,815.60","327,815.60","Energy","2023748","US42809H1077","New York Stock Exchange Inc."
"TSS","TOTAL SYSTEM SERVICES INC","Equity","0.17","95.57","3,426.00","327,422.82","327,422.82","Information Technology","2897697","US8919061098","New York Stock Exchange Inc."
"ECL","ECOLAB INC","Equity","0.17","148.47","2,204.00","327,227.88","327,227.88","Materials","2304227","US2788651006","New York Stock Exchange Inc."
"LOW","LOWES COMPANIES INC","Equity","0.17","105.98","3,087.00","327,160.26","327,160.26","Consumer Discretionary","2536763","US5486611073","New York Stock Exchange Inc."
"COST","COSTCO WHOLESALE CORP","Equity","0.17","227.68","1,436.00","326,948.48","326,948.48","Consumer Staples","2701271","US22160K1051","NASDAQ"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Equity","0.17","132.02","2,476.00","326,881.52","326,881.52","Communication","2122117","US8740541094","NASDAQ"
"BIIB","BIOGEN INC INC","Equity","0.17","338.61","965.00","326,758.65","326,758.65","Health Care","2455965","US09062X1037","NASDAQ"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.17","145.12","2,251.00","326,665.12","326,665.12","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"ETR","ENTERGY CORP","Equity","0.17","82.72","3,949.00","326,661.28","326,661.28","Utilities","2317087","US29364G1031","New York Stock Exchange Inc."
"FISV","FISERV INC","Equity","0.17","78.86","4,142.00","326,638.12","326,638.12","Information Technology","2342034","US3377381088","NASDAQ"
"VMW","VMWARE INC CLASS A","Equity","0.17","148.36","2,201.00","326,540.36","326,540.36","Information Technology","B23SN61","US9285634021","New York Stock Exchange Inc."
"TGT","TARGET CORP","Equity","0.17","85.81","3,805.00","326,507.05","326,507.05","Consumer Discretionary","2259101","US87612E1064","New York Stock Exchange Inc."
"FLS","FLOWSERVE CORP","Equity","0.17","51.81","6,300.00","326,403.00","326,403.00","Industrials","2288406","US34354P1057","New York Stock Exchange Inc."
"WCN","WASTE CONNECTIONS INC","Equity","0.17","77.86","4,192.00","326,389.12","326,389.12","Industrials","BYVG1F6","CA94106B1013","New York Stock Exchange Inc."
"AIZ","ASSURANT INC","Equity","0.17","104.19","3,131.00","326,218.89","326,218.89","Financials","2331430","US04621X1081","New York Stock Exchange Inc."
"GDDY","GODADDY INC CLASS A","Equity","0.17","79.15","4,121.00","326,177.15","326,177.15","Information Technology","BWFRFC6","US3802371076","New York Stock Exchange Inc."
"T","AT&T INC","Equity","0.17","32.39","10,057.00","325,746.23","325,746.23","Communication","2831811","US00206R1023","New York Stock Exchange Inc."
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.17","235.15","1,385.00","325,682.75","325,682.75","Health Care","2886907","US8835561023","New York Stock Exchange Inc."
"UDR","UDR REIT INC","Equity","0.17","39.13","8,323.00","325,678.99","325,678.99","Real Estate","2727910","US9026531049","New York Stock Exchange Inc."
"CMCSA","COMCAST CORP CLASS A","Equity","0.17","36.00","9,046.00","325,656.00","325,656.00","Communication","2044545","US20030N1019","NASDAQ"
"WAT","WATER CORP CORP","Equity","0.17","188.12","1,731.00","325,635.72","325,635.72","Health Care","2937689","US9418481035","New York Stock Exchange Inc."
"O","REALTY INCOME REIT CORP","Equity","0.17","57.55","5,656.00","325,502.80","325,502.80","Real Estate","2724193","US7561091049","New York Stock Exchange Inc."
"COL","ROCKWELL COLLINS INC","Equity","0.17","135.06","2,410.00","325,494.60","325,494.60","Industrials","2767228","US7743411016","New York Stock Exchange Inc."
"HUM","HUMANA INC","Equity","0.17","328.35","991.00","325,394.85","325,394.85","Health Care","2445063","US4448591028","New York Stock Exchange Inc."
"TSN","TYSON FOODS INC CLASS A","Equity","0.17","62.03","5,245.00","325,347.35","325,347.35","Consumer Staples","2909730","US9024941034","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","0.17","207.78","1,565.00","325,175.70","325,175.70","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"HPQ","HP INC","Equity","0.17","23.96","13,570.00","325,137.20","325,137.20","Information Technology","BYX4D52","US40434L1052","New York Stock Exchange Inc."
"VRSK","VERISK ANALYTICS INC","Equity","0.17","116.23","2,797.00","325,095.31","325,095.31","Industrials","B4P9W92","US92345Y1064","NASDAQ"
"EVRG","EVERGY INC","Equity","0.17","56.14","5,786.00","324,826.04","324,826.04","Utilities","BFMXGR0","US30034W1062","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","0.17","45.82","7,087.00","324,726.34","324,726.34","Information Technology","2198163","US17275R1023","NASDAQ"
"CVS","CVS HEALTH CORP","Equity","0.17","73.72","4,405.00","324,736.60","324,736.60","Health Care","2577609","US1266501006","New York Stock Exchange Inc."
"BAX","BAXTER INTERNATIONAL INC","Equity","0.17","71.76","4,525.00","324,714.00","324,714.00","Health Care","2085102","US0718131099","New York Stock Exchange Inc."
"NSC","NORFOLK SOUTHERN CORP","Equity","0.17","172.35","1,883.00","324,535.05","324,535.05","Industrials","2641894","US6558441084","New York Stock Exchange Inc."
"RSG","REPUBLIC SERVICES INC","Equity","0.17","71.99","4,505.00","324,314.95","324,314.95","Industrials","2262530","US7607591002","New York Stock Exchange Inc."
"FTI","TECHNIPFMC PLC","Equity","0.17","30.26","10,707.00","323,993.82","323,993.82","Energy","BDSFG98","GB00BDSFG982","New York Stock Exchange Inc."
"MIDD","MIDDLEBY CORP","Equity","0.17","117.50","2,757.00","323,947.50","323,947.50","Industrials","2590930","US5962781010","NASDAQ"
"CERN","CERNER CORP","Equity","0.17","64.37","5,031.00","323,845.47","323,845.47","Health Care","2185284","US1567821046","NASDAQ"
"QCOM","QUALCOMM INC","Equity","0.17","66.12","4,894.00","323,591.28","323,591.28","Information Technology","2714923","US7475251036","NASDAQ"
"AMT","AMERICAN TOWER REIT CORP","Equity","0.17","145.69","2,221.00","323,577.49","323,577.49","Real Estate","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"UHS","UNIVERSAL HEALTH SERVICES INC CLAS","Equity","0.17","124.62","2,596.00","323,513.52","323,513.52","Health Care","2923785","US9139031002","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.17","48.23","6,707.00","323,478.61","323,478.61","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"JKHY","JACK HENRY ANS ASSOCIATES INC","Equity","0.17","154.23","2,096.00","323,266.08","323,266.08","Information Technology","2469193","US4262811015","NASDAQ"
"FMC","FMC CORP","Equity","0.17","84.70","3,816.00","323,215.20","323,215.20","Materials","2328603","US3024913036","New York Stock Exchange Inc."
"ARE","ALEXANDRIA REAL ESTATE EQUITIES RE","Equity","0.17","123.45","2,617.00","323,068.65","323,068.65","Real Estate","2009210","US0152711091","New York Stock Exchange Inc."
"PXD","PIONEER NATURAL RESOURCE","Equity","0.17","173.56","1,861.00","322,995.16","322,995.16","Energy","2690830","US7237871071","New York Stock Exchange Inc."
"HAL","HALLIBURTON","Equity","0.17","40.08","8,051.00","322,684.08","322,684.08","Energy","2405302","US4062161017","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.17","53.70","6,008.00","322,629.60","322,629.60","Communication","2090571","US92343V1044","New York Stock Exchange Inc."
"SBAC","SBA COMMUNICATIONS REIT CORP CLASS","Equity","0.17","152.88","2,110.00","322,576.80","322,576.80","Real Estate","BZ6TS23","US78410G1040","NASDAQ"
"FLT","FLEETCOR TECHNOLOGIES INC","Equity","0.17","213.89","1,508.00","322,546.12","322,546.12","Information Technology","B4R28B3","US3390411052","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.17","132.51","2,434.00","322,529.34","322,529.34","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","0.17","117.51","2,744.00","322,447.44","322,447.44","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"IR","INGERSOLL RAND PLC","Equity","0.17","98.75","3,265.00","322,418.75","322,418.75","Industrials","B633030","IE00B6330302","New York Stock Exchange Inc."
"DOV","DOVER CORP","Equity","0.17","83.24","3,873.00","322,388.52","322,388.52","Industrials","2278407","US2600031080","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","0.17","97.83","3,295.00","322,349.85","322,349.85","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"LNG","CHENIERE ENERGY INC","Equity","0.17","65.01","4,958.00","322,319.58","322,319.58","Energy","2654364","US16411R2085","Nyse Mkt Llc"
"KEYS","KEYSIGHT TECHNOLOGIES INC","Equity","0.17","63.08","5,108.00","322,212.64","322,212.64","Information Technology","BQZJ0Q9","US49338L1035","New York Stock Exchange Inc."
"CAG","CONAGRA BRANDS INC","Equity","0.17","35.66","9,034.00","322,152.44","322,152.44","Consumer Staples","2215460","US2058871029","New York Stock Exchange Inc."
"NWSA","NEWS CORP CLASS A","Equity","0.17","13.14","24,513.00","322,100.82","322,100.82","Communication","BBGVT40","US65249B1098","NASDAQ"
"HBI","HANESBRANDS INC","Equity","0.17","17.06","18,877.00","322,041.62","322,041.62","Consumer Discretionary","B1BJSL9","US4103451021","New York Stock Exchange Inc."
"CHRW","CH ROBINSON WORLDWIDE INC","Equity","0.17","94.20","3,418.00","321,975.60","321,975.60","Industrials","2116228","US12541W2098","NASDAQ"
"SPR","SPIRIT AEROSYSTEMS INC CLASS A","Equity","0.17","84.84","3,795.00","321,967.80","321,967.80","Industrials","B1HMMS7","US8485741099","New York Stock Exchange Inc."
"NNN","NATIONAL RETAIL PROPERTIES REIT IN","Equity","0.17","44.89","7,172.00","321,951.08","321,951.08","Real Estate","2211811","US6374171063","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","0.17","141.74","2,271.00","321,891.54","321,891.54","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"CRM","SALESFORCE.COM INC","Equity","0.17","147.44","2,183.00","321,861.52","321,861.52","Information Technology","2310525","US79466L3024","New York Stock Exchange Inc."
"WU","WESTERN UNION","Equity","0.17","18.40","17,493.00","321,871.20","321,871.20","Information Technology","B1F76F9","US9598021098","New York Stock Exchange Inc."
"DRE","DUKE REALTY REIT CORP","Equity","0.17","27.47","11,712.00","321,728.64","321,728.64","Real Estate","2284084","US2644115055","New York Stock Exchange Inc."
"DVA","DAVITA INC","Equity","0.17","70.43","4,567.00","321,653.81","321,653.81","Health Care","2898087","US23918K1088","New York Stock Exchange Inc."
"CPT","CAMDEN PROPERTY TRUST REIT TRUST","Equity","0.17","91.98","3,497.00","321,654.06","321,654.06","Real Estate","2166320","US1331311027","New York Stock Exchange Inc."
"ALLE","ALLEGION PLC","Equity","0.16","85.23","3,772.00","321,487.56","321,487.56","Industrials","BFRT3W7","IE00BFRT3W74","New York Stock Exchange Inc."
"ROK","ROCKWELL AUTOMATION INC","Equity","0.16","172.47","1,863.00","321,311.61","321,311.61","Industrials","2754060","US7739031091","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","0.16","195.92","1,640.00","321,308.80","321,308.80","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"GPN","GLOBAL PAYMENTS INC","Equity","0.16","119.89","2,680.00","321,305.20","321,305.20","Information Technology","2712013","US37940X1028","New York Stock Exchange Inc."
"MSI","MOTOROLA SOLUTIONS INC","Equity","0.16","123.76","2,596.00","321,280.96","321,280.96","Information Technology","B5BKPQ4","US6200763075","New York Stock Exchange Inc."
"PRGO","PERRIGO PLC","Equity","0.16","72.75","4,416.00","321,264.00","321,264.00","Health Care","BGH1M56","IE00BGH1M568","New York Stock Exchange Inc."
"ATH","ATHENE HOLDING LTD CLASS A","Equity","0.16","49.03","6,550.00","321,146.50","321,146.50","Financials","BZ13MZ1","BMG0684D1074","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","0.16","104.27","3,079.00","321,047.33","321,047.33","Financials","2026082","US0258161092","New York Stock Exchange Inc."
"UAL","UNITED CONTINENTAL HOLDINGS INC","Equity","0.16","83.52","3,843.00","320,967.36","320,967.36","Industrials","B4QG225","US9100471096","NASDAQ"
"GPC","GENUINE PARTS","Equity","0.16","97.06","3,307.00","320,977.42","320,977.42","Consumer Discretionary","2367480","US3724601055","New York Stock Exchange Inc."
"NCLH","NORWEGIAN CRUISE LINE HOLDINGS LTD","Equity","0.16","51.90","6,182.00","320,845.80","320,845.80","Consumer Discretionary","B9CGTC3","BMG667211046","New York Stock Exchange Inc."
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.16","41.28","7,771.00","320,786.88","320,786.88","Consumer Staples","B8CKK03","US6092071058","NASDAQ"
"MMM","3M","Equity","0.16","202.33","1,585.00","320,693.05","320,693.05","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"FIS","FIDELITY NATIONAL INFORMATION SERV","Equity","0.16","104.82","3,054.00","320,120.28","320,120.28","Information Technology","2769796","US31620M1062","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","0.16","81.01","3,950.00","319,989.50","319,989.50","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"GLW","CORNING INC","Equity","0.16","32.64","9,803.00","319,969.92","319,969.92","Information Technology","2224701","US2193501051","New York Stock Exchange Inc."
"ADM","ARCHER DANIELS MIDLAND","Equity","0.16","49.30","6,490.00","319,957.00","319,957.00","Consumer Staples","2047317","US0394831020","New York Stock Exchange Inc."
"ROP","ROPER TECHNOLOGIES INC","Equity","0.16","287.21","1,114.00","319,951.94","319,951.94","Industrials","2749602","US7766961061","New York Stock Exchange Inc."
"REG","REGENCY CENTERS REIT CORP","Equity","0.16","62.98","5,080.00","319,938.40","319,938.40","Real Estate","2726177","US7588491032","New York Stock Exchange Inc."
"VFC","VF CORP","Equity","0.16","89.65","3,568.00","319,871.20","319,871.20","Consumer Discretionary","2928683","US9182041080","New York Stock Exchange Inc."
"RE","EVEREST RE GROUP LTD","Equity","0.16","215.40","1,485.00","319,869.00","319,869.00","Financials","2556868","BMG3223R1088","New York Stock Exchange Inc."
"SNA","SNAP ON INC","Equity","0.16","171.59","1,864.00","319,843.76","319,843.76","Industrials","2818740","US8330341012","New York Stock Exchange Inc."
"PLD","PROLOGIS REIT INC","Equity","0.16","63.86","5,007.00","319,747.02","319,747.02","Real Estate","B44WZD7","US74340W1036","New York Stock Exchange Inc."
"K","KELLOGG","Equity","0.16","69.85","4,576.00","319,633.60","319,633.60","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc."
"LUV","SOUTHWEST AIRLINES","Equity","0.16","58.94","5,422.00","319,572.68","319,572.68","Industrials","2831543","US8447411088","New York Stock Exchange Inc."
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","0.16","54.57","5,850.00","319,234.50","319,234.50","Financials","2803014","US74251V1026","NASDAQ"
"ACN","ACCENTURE PLC CLASS A","Equity","0.16","161.20","1,980.00","319,176.00","319,176.00","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"XPO","XPO LOGISTICS INC","Equity","0.16","103.59","3,081.00","319,160.79","319,160.79","Industrials","B6Z1355","US9837931008","New York Stock Exchange Inc."
"ETN","EATON PLC","Equity","0.16","80.26","3,975.00","319,033.50","319,033.50","Industrials","B8KQN82","IE00B8KQN827","New York Stock Exchange Inc."
"ITW","ILLINOIS TOOL INC","Equity","0.16","133.09","2,397.00","319,016.73","319,016.73","Industrials","2457552","US4523081093","New York Stock Exchange Inc."
"AVB","AVALONBAY COMMUNITIES REIT INC","Equity","0.16","176.14","1,811.00","318,989.54","318,989.54","Real Estate","2131179","US0534841012","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","0.16","69.71","4,575.00","318,923.25","318,923.25","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","0.16","44.37","7,185.00","318,798.45","318,798.45","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"ROL","ROLLINS INC","Equity","0.16","57.55","5,539.00","318,769.45","318,769.45","Industrials","2747305","US7757111049","New York Stock Exchange Inc."
"DRI","DARDEN RESTAURANTS INC","Equity","0.16","110.09","2,894.00","318,600.46","318,600.46","Consumer Discretionary","2289874","US2371941053","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","0.16","74.29","4,288.00","318,555.52","318,555.52","Financials","2196888","US1720621010","NASDAQ"
"ED","CONSOLIDATED EDISON INC","Equity","0.16","76.10","4,185.00","318,478.50","318,478.50","Utilities","2216850","US2091151041","New York Stock Exchange Inc."
"LNC","LINCOLN NATIONAL CORP","Equity","0.16","64.47","4,938.00","318,352.86","318,352.86","Financials","2516378","US5341871094","New York Stock Exchange Inc."
"INFO","IHS MARKIT LTD","Equity","0.16","52.50","6,064.00","318,360.00","318,360.00","Industrials","BD0Q558","BMG475671050","NASDAQ"
"CDW","CDW CORP","Equity","0.16","84.46","3,769.00","318,329.74","318,329.74","Information Technology","BBM5MD6","US12514G1085","NASDAQ"
"TRMB","TRIMBLE INC","Equity","0.16","40.06","7,943.00","318,196.58","318,196.58","Information Technology","2903958","US8962391004","NASDAQ"
"BMY","BRISTOL MYERS SQUIBB","Equity","0.16","57.83","5,502.00","318,180.66","318,180.66","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"TDG","TRANSDIGM GROUP INC","Equity","0.16","344.70","923.00","318,158.10","318,158.10","Industrials","B11FJK3","US8936411003","New York Stock Exchange Inc."
"EMR","EMERSON ELECTRIC","Equity","0.16","73.57","4,322.00","317,969.54","317,969.54","Industrials","2313405","US2910111044","New York Stock Exchange Inc."
"XRAY","DENTSPLY SIRONA INC","Equity","0.16","37.14","8,556.00","317,769.84","317,769.84","Health Care","BYNPPC6","US24906P1093","NASDAQ"
"TXT","TEXTRON INC","Equity","0.16","66.76","4,760.00","317,777.60","317,777.60","Industrials","2885937","US8832031012","New York Stock Exchange Inc."
"VAR","VARIAN MEDICAL SYSTEMS INC","Equity","0.16","108.01","2,940.00","317,549.40","317,549.40","Health Care","2927516","US92220P1057","New York Stock Exchange Inc."
"SPG","SIMON PROPERTY GROUP REIT INC","Equity","0.16","174.09","1,823.00","317,366.07","317,366.07","Real Estate","2812452","US8288061091","New York Stock Exchange Inc."
"HCP","HCP REIT INC","Equity","0.16","25.68","12,355.00","317,276.40","317,276.40","Real Estate","2417578","US40414L1098","New York Stock Exchange Inc."
"GRMN","GARMIN LTD","Equity","0.16","63.13","5,024.00","317,165.12","317,165.12","Consumer Discretionary","B3Z5T14","CH0114405324","NASDAQ"
"HLT","HILTON WORLDWIDE HOLDINGS INC","Equity","0.16","74.63","4,247.00","316,953.61","316,953.61","Consumer Discretionary","BYVMW06","US43300A2033","New York Stock Exchange Inc."
"ALLY","ALLY FINANCIAL INC","Equity","0.16","26.10","12,142.00","316,906.20","316,906.20","Financials","B72XK05","US02005N1000","New York Stock Exchange Inc."
"AXS","AXIS CAPITAL HOLDINGS LTD","Equity","0.16","55.43","5,715.00","316,782.45","316,782.45","Financials","2677606","BMG0692U1099","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","0.16","193.58","1,636.00","316,696.88","316,696.88","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"CCL","CARNIVAL CORP","Equity","0.16","59.09","5,352.00","316,249.68","316,249.68","Consumer Discretionary","2523044","PA1436583006","New York Stock Exchange Inc."
"WELL","WELLTOWER INC","Equity","0.16","63.12","5,010.00","316,231.20","316,231.20","Real Estate","BYVYHH4","US95040Q1040","New York Stock Exchange Inc."
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","0.16","106.90","2,958.00","316,210.20","316,210.20","Real Estate","BTGQCX1","US22822V1017","New York Stock Exchange Inc."
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Equity","0.16","73.50","4,302.00","316,197.00","316,197.00","Information Technology","2257019","US1924461023","NASDAQ"
"DFS","DISCOVER FINANCIAL SERVICES","Equity","0.16","75.60","4,177.00","315,781.20","315,781.20","Financials","B1YLC43","US2547091080","New York Stock Exchange Inc."
"RJF","RAYMOND JAMES INC","Equity","0.16","89.01","3,547.00","315,718.47","315,718.47","Financials","2718992","US7547301090","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","0.16","107.39","2,939.00","315,619.21","315,619.21","Consumer Staples","2681511","US7134481081","NASDAQ"
"KNX","KNIGHT-SWIFT TRANSPORTATION HOLDIN","Equity","0.16","32.31","9,768.00","315,604.08","315,604.08","Industrials","BF0LKD0","US4990491049","New York Stock Exchange Inc."
"RMD","RESMED INC","Equity","0.16","106.01","2,976.00","315,485.76","315,485.76","Health Care","2732903","US7611521078","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","0.16","110.07","2,866.00","315,460.62","315,460.62","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"APD","AIR PRODUCTS AND CHEMICALS INC","Equity","0.16","159.69","1,975.00","315,387.75","315,387.75","Materials","2011602","US0091581068","New York Stock Exchange Inc."
"TMK","TORCHMARK CORP","Equity","0.16","84.74","3,722.00","315,402.28","315,402.28","Financials","2896713","US8910271043","New York Stock Exchange Inc."
"BDX","BECTON DICKINSON","Equity","0.16","244.30","1,291.00","315,391.30","315,391.30","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
"DISH","DISH NETWORK CORP CLASS A","Equity","0.16","34.15","9,235.00","315,375.25","315,375.25","Communication","2303581","US25470M1099","NASDAQ"
"RGA","REINSURANCE GROUP OF AMERICA INC","Equity","0.16","137.70","2,290.00","315,333.00","315,333.00","Financials","2731193","US7593516047","New York Stock Exchange Inc."
"CSX","CSX CORP","Equity","0.16","72.20","4,365.00","315,153.00","315,153.00","Industrials","2160753","US1264081035","NASDAQ"
"Y","ALLEGHANY CORP","Equity","0.16","608.25","518.00","315,073.50","315,073.50","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"EQR","EQUITY RESIDENTIAL REIT","Equity","0.16","64.38","4,893.00","315,011.34","315,011.34","Real Estate","2319157","US29476L1070","New York Stock Exchange Inc."
"IPG","INTERPUBLIC GROUP OF COMPANIES INC","Equity","0.16","22.04","14,292.00","314,995.68","314,995.68","Communication","2466321","US4606901001","New York Stock Exchange Inc."
"XRX","XEROX CORP","Equity","0.16","26.40","11,923.00","314,767.20","314,767.20","Information Technology","BYWTW73","US9841216081","New York Stock Exchange Inc."
"WRB","WR BERKLEY CORP","Equity","0.16","74.72","4,208.00","314,421.76","314,421.76","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"LDOS","LEIDOS HOLDINGS INC","Equity","0.16","67.63","4,649.00","314,411.87","314,411.87","Information Technology","BDV82B8","US5253271028","New York Stock Exchange Inc."
"AME","AMETEK INC","Equity","0.16","73.46","4,277.00","314,188.42","314,188.42","Industrials","2089212","US0311001004","New York Stock Exchange Inc."
"EQT","EQT CORP","Equity","0.16","47.56","6,604.00","314,086.24","314,086.24","Energy","2319414","US26884L1098","New York Stock Exchange Inc."
"SBNY","SIGNATURE BANK","Equity","0.16","111.96","2,803.00","313,823.88","313,823.88","Financials","B00JQL9","US82669G1040","NASDAQ"
"MAT","MATTEL INC","Equity","0.16","14.84","21,139.00","313,702.76","313,702.76","Consumer Discretionary","2572303","US5770811025","NASDAQ"
"INTC","INTEL CORPORATION","Equity","0.16","45.94","6,828.00","313,678.32","313,678.32","Information Technology","2463247","US4581401001","NASDAQ"
"ILMN","ILLUMINA INC","Equity","0.16","326.58","960.00","313,516.80","313,516.80","Health Care","2613990","US4523271090","NASDAQ"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.16","117.48","2,667.00","313,319.16","313,319.16","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"RL","RALPH LAUREN CORP CLASS A","Equity","0.16","129.16","2,425.00","313,213.00","313,213.00","Consumer Discretionary","B4V9661","US7512121010","New York Stock Exchange Inc."
"PAYX","PAYCHEX INC","Equity","0.16","68.89","4,546.00","313,173.94","313,173.94","Information Technology","2674458","US7043261079","NASDAQ"
"NFLX","NETFLIX INC","Equity","0.16","346.40","904.00","313,145.60","313,145.60","Communication","2857817","US64110L1061","NASDAQ"
"AMP","AMERIPRISE FINANCE INC","Equity","0.16","137.01","2,285.00","313,067.85","313,067.85","Financials","B0J7D57","US03076C1062","New York Stock Exchange Inc."
"AMZN","AMAZON COM INC","Equity","0.16","1,819.96","172.00","313,033.12","313,033.12","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"BKNG","BOOKING HOLDINGS INC","Equity","0.16","1,830.27","171.00","312,976.17","312,976.17","Consumer Discretionary","BDRXDB4","US09857L1089","NASDAQ"
"QRVO","QUORVO INC","Equity","0.16","75.45","4,147.00","312,891.15","312,891.15","Information Technology","BR9YYP4","US74736K1016","NASDAQ"
"INVH","INVITATION HOMES INC","Equity","0.16","21.81","14,345.00","312,864.45","312,864.45","Real Estate","BD81GW9","US46187W1071","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","0.16","12.10","25,853.00","312,821.30","312,821.30","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"SWKS","SKYWORKS SOLUTIONS INC","Equity","0.16","88.70","3,526.00","312,756.20","312,756.20","Information Technology","2961053","US83088M1027","NASDAQ"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Equity","0.16","117.95","2,651.00","312,685.45","312,685.45","Consumer Discretionary","2210614","US5719032022","NASDAQ"
"HOG","HARLEY DAVIDSON INC","Equity","0.16","41.22","7,586.00","312,694.92","312,694.92","Consumer Discretionary","2411053","US4128221086","New York Stock Exchange Inc."
"MAA","MID AMERICA APARTMENT COMMUNITIES","Equity","0.16","98.24","3,182.00","312,599.68","312,599.68","Real Estate","2589132","US59522J1034","New York Stock Exchange Inc."
